q,a,indexes
"parse_excel 解析Excel","parse_excel(xlsx_path, photo_output_dir) 是Excel解析引擎的主入口函数，位于 backend/services/excel_parser.py:311。支持两种格式：建筑施工格式（项目名称：xxx）和九小场所格式（N、企业名称）。返回 List[ProjectData]，每个 ProjectData 包含项目基本信息和隐患列表。调用链：parse_excel → _extract_images_from_xlsx → _extract_via_openpyxl + _extract_via_drawing_xml → _detect_category_from_title → 循环解析行 → _parse_project_info / _parse_simple_project_name → _read_hazard_rows → _find_photo_for_row。参数：xlsx_path(Excel文件路径)、photo_output_dir(照片输出目录)。","1. 如何解析安全检查Excel?
2. Excel解析入口在哪里?
3. 怎么提取Excel中的项目数据?
4. parse_excel函数怎么用?
5. 建筑施工和九小场所格式怎么区分?"
"上传Excel接口 upload_excel","upload_excel(file, project_type, db) 是文件上传的API端点，位于 backend/routers/projects.py:46，路由 POST /api/upload-excel。接收 .xlsx 文件和项目类型参数(longhua/wenti)，保存文件后分发到对应的解析函数。调用链：upload_excel → _upload_longhua_excel（调用 parse_excel + 创建 Project/Hazard 记录）或 _upload_wenti_excel（调用 parse_wenti_excel + 创建 Project 记录）。返回解析结果摘要。","1. 怎么上传Excel文件?
2. 上传接口是什么?
3. Excel上传后怎么处理?
4. upload_excel怎么调用?
5. 导入Excel到系统"
"_upload_longhua_excel 龙华项目Excel导入","_upload_longhua_excel(save_path, filename, db) 是龙华类型项目的Excel导入处理函数，位于 backend/routers/projects.py:68。解析Excel后为每个项目创建 Project 和 Hazard 数据库记录，自动根据街道分组分配默认核销人员。调用链：_upload_longhua_excel → parse_excel(解析Excel) → _resolve_street_group(街道分组) → 创建Project/Hazard ORM对象 → db.commit。","1. 龙华项目怎么导入?
2. longhua类型Excel怎么处理?
3. 导入后怎么创建项目记录?
4. 自动分配核销人员"
"_upload_wenti_excel 文体项目Excel导入","_upload_wenti_excel(save_path, filename, db) 是文体类型项目的Excel导入处理函数，位于 backend/routers/projects.py:115。调用 parse_wenti_excel 解析文体台账Excel，为每个场所创建 Project 数据库记录，包含报告编号、面积等文体专用字段。调用链：_upload_wenti_excel → parse_wenti_excel → 创建Project ORM → db.commit。","1. 文体项目怎么导入?
2. wenti类型Excel怎么处理?
3. 文体台账怎么解析?
4. 文体项目导入流程"
"generate_document 生成Word文档","generate_document(project_data, hazards, facade_photo, card_photo, output_filename) 是龙华项目Word文档生成的主函数，位于 backend/services/doc_generator.py:241。基于模板 template.docx 生成一企一档核查验收销号记录。调用链：generate_document → Document(template) → _fill_cover(填充封面) → _fill_photo_tables(插入门面照和廉政监督卡照片) → _fill_hazard_table(填充隐患整改记录表) → doc.save。返回生成的文档路径。参数：project_data(项目信息dict), hazards(隐患列表), facade_photo(门面照路径), card_photo(廉政卡照路径)。","1. 怎么生成Word文档?
2. 一企一档怎么生成?
3. Word报告生成入口
4. generate_document函数说明
5. 龙华项目文档怎么导出?"
"generate_wenti_document 生成文体项目Word文档","generate_wenti_document(project_data, hazards, photos, detection_records, checklist_results, output_filename) 是文体项目Word文档生成的主函数，位于 backend/services/doc_generator_wenti.py:550。基于 template_wenti.docx 模板，填充报告编号、基本信息、详细信息、场所照片、隐患排查表、电气防火检测附表(Tables 7-24)。调用链：generate_wenti_document → _fill_report_code → _fill_basic_info → _fill_detailed_info → _fill_photos → _fill_hazard_table → _fill_infrared_table → _fill_ground_resistance_table → _fill_simple_detection_tables → _fill_checklist_tables → _insert_page_break_before_section4 → doc.save。","1. 文体项目Word怎么生成?
2. 文体报告生成函数
3. generate_wenti_document怎么用?
4. 文体项目文档导出
5. 电气防火检测报告怎么生成?"
"generate_doc 文档生成API","generate_doc(project_id, db) 是文档生成的API端点，位于 backend/routers/projects.py:411，路由 POST /api/projects/{project_id}/generate。根据项目类型自动选择龙华或文体生成流程，生成后记录到 GeneratedDoc 表。调用链：generate_doc → 查询Project/Hazard/ScenePhoto → _generate_longhua(调用generate_document) 或 _generate_wenti(调用generate_wenti_document) → 保存GeneratedDoc记录。返回文件名、大小和下载URL。","1. 怎么触发文档生成?
2. 生成文档的API接口
3. generate_doc路由在哪?
4. 项目文档怎么导出?"
"list_projects 查询项目列表","list_projects(street, status, category, project_type, db) 是项目列表查询的API端点，位于 backend/routers/projects.py:148，路由 GET /api/projects。支持按街道、状态、分类、项目类型筛选。返回项目列表，每项包含隐患数量、已上传照片数量、进度等统计信息。根据项目类型(longhua/wenti)计算不同的照片上传进度。","1. 怎么查询项目列表?
2. 项目列表接口
3. 按街道筛选项目
4. list_projects参数说明
5. GET /api/projects"
"get_project 获取项目详情","get_project(project_id, db) 是项目详情查询的API端点，位于 backend/routers/projects.py:264，路由 GET /api/projects/{project_id}。返回项目基本信息、隐患列表（含照片状态）、现场照片列表。文体项目额外返回 report_code、area、floor_info 字段。","1. 怎么获取单个项目详情?
2. 项目详情接口
3. get_project返回什么?
4. GET /api/projects/{id}"
"create_project 创建项目","create_project(body, db) 是手动创建项目的API端点，位于 backend/routers/projects.py:208，路由 POST /api/projects。接收 JSON body 包含项目名称、街道、地址等信息，根据 project_type 设置不同字段。龙华项目自动根据街道分配默认核销人员。","1. 怎么手动创建项目?
2. 创建项目的接口
3. POST /api/projects
4. 新建项目API"
"update_project 更新项目信息","update_project(project_id, body, db) 是项目信息更新的API端点，位于 backend/routers/projects.py:302，路由 PATCH /api/projects/{project_id}。支持更新的字段：name, street, address, contact, phone, category, build_unit, construct_unit, supervise_unit, check_date, report_code, area, floor_info, inspectors。","1. 怎么修改项目信息?
2. 更新项目接口
3. PATCH /api/projects/{id}
4. 编辑项目字段"
"delete_project 删除项目","delete_project(project_id, db) 是项目删除的API端点，位于 backend/routers/projects.py:601，路由 DELETE /api/projects/{project_id}。级联删除项目及其关联的隐患、照片等记录（通过SQLAlchemy cascade）。","1. 怎么删除项目?
2. 删除项目接口
3. DELETE /api/projects/{id}"
